Item,Type,Target,Description
Ash of Invisibility,Lesser,All Self Units,Believed to increase units init. or gives first strike.
Blood Stained Map,Lesser,Self,Steals 1 of 5 Holy Grails.
Book of Golem Summoning,Lesser,Self,Summons Iron Golems.
Book of Prophecy,Lesser,Enemy,Convinces a percentage of enemy population to defect to your country.
Bottle of Eversmoking,Lesser,All Orc/All Enemy Orcs,Enchances the fighting power and accuracy of Orcs.
Brooch of Protection,Lesser,All Units,Protects all of your units for duration of battle.
Bubble Wine,Lesser,All Units,Increases toughness of units while reducing accuracy.
Candle of Sleeping,Lesser,All Enemy Units,Makes enemy units less effective in battle.
Capsule Monster,Lesser,Self/Battle,Summons Capsule Monsters for duration of one battle.Carpet of Flying
Coffin,Lesser,Self,Summons a number of 1 random set of undead.
Cosmetics,Lesser,Humans/Elves,Increases beauty distracting and reducing enemy effectiveness for one battle.
Crystal Ball,Lesser,Enemy,Displays details of enemy. (Same as Scrying Mirror Spell.)
Dozens of Silver Tipped Arrows,Lesser,Missile Units,Increases attack of missile units against undead and demons.
Drums of War,Lesser,All Enemy Units,Reduces effectivenss of enemy units in one battle.
Figurine of the Ice Queen,Lesser,Enemy Units,Hits various number of enemy units with cold attack.
Flasks of Holy Water,Lesser,Enemy Undead,Inflicts holy damage to undead units during one battle.
Head of Medusa,Lesser,1 enemy group,Kills 1 - 10 units in a single group.
Horn of Valhalla,Lesser,Self,Summons various amounts of Knights.
Javelin of Lightning Bolt,Lesser,Enemy Units,Inflicts lightning damage to enemy units.
Letter of the Thieves Guild,Lesser,Enemy,Steals items
Official List of Demands,Lesser,Enemy,Targeted mage loses gold
Magical Compass,Lesser,Self,Used to discover 100 acres of land.
Mana Crystal,Lesser,Self,Generates mana.
Mana Vortex,Lesser,Enemy,Portion of target's mana is destroyed.
Missle Shield,Lesser,All Self Units,Protects all of your units from missile attacks for one battle.
Monkey Brain,Lesser,Psychic Units,Enhances the psychic attack abilities.
Oil Flasks,Lesser,Enemy Units,Covers enemy units in oil making them more suseptible to fire attacks.
Ointment of Healing,Lesser,All Self Units,Reduces damage and poisonous effect to creatures.
Peaches,Lesser,Self,Summons Gorillas.
Pipes of the Sewer,Lesser,Enemy,Target loses 500k gold and 15k population.
Potion of Valor,Lesser,Human Units,Enhances fighting all around for human units.
Pouch of Herbs,Lesser,All Units,Aids in regeneration during battle.
Powder Keg,Lesser,Enemy Units,Inflicts fire damage.
Ring of Animal Command,Lesser,Enemy and Self Units,Prevents animal units from attacking you.
Rotten Food,Lesser,Enemy,Kills target's population.
Sage Stone,Lesser,Self,Generates one to two million gold.
Satchel of Mist,Lesser,Enemy and Self Units,Reduces accuracy of both armies by estimated 10 percent.
Scroll of Protection from Fire,Lesser,Self Units,Reduces fire damage in battle.
Spider's Web,Lesser,Enemy Units,Lowers target units' initiative and may also increase fire damage.
Staff of Illusion,Lesser,Enemy Units,Each unit has a 50 percent chance of believe illusion and suffer psychic damage.
Strange Metallic Can,Lesser,Units,Heals 10 percent of slain units.
Total Newbie Handbook,Lesser,Self,Summons Frogs or Squirrels.
Teasure Chest,Lesser,Self,Used to locate gold
